fips,stateabbr,naics,yearmonth,yoy_pct_change
00,USA,441,yy201901,-0.1
00,USA,441,yy201902,0.2
00,USA,441,yy201903,0.7
00,USA,441,yy201904,4.2
00,USA,441,yy201905,2.4
00,USA,441,yy201906,-0.2
00,USA,441,yy201907,5.1
00,USA,441,yy201908,5.3
00,USA,441,yy201909,3.1
00,USA,441,yy201910,3.9
00,USA,441,yy201911,4.9
00,USA,441,yy201912,0.9
00,USA,441,yy202001,4.1
00,USA,441,yy202002,6.7
00,USA,441,yy202003,-27.3
00,USA,441,yy202004,-34.6
00,USA,441,yy202005,-6.8
00,USA,441,yy202006,6
00,USA,441,yy202007,3.3
00,USA,441,yy202008,-1.8
00,USA,441,yy202009,10.3
00,USA,441,yy202010,7.6
00,USA,441,yy202011,-0.6
00,USA,441,yy202012,9.8
00,USA,441,yy202101,9.6
00,USA,441,yy202102,3.4
00,USA,441,yy202103,76.5
00,USA,441,yy202104,105.5
00,USA,441,yy202105,31.8
00,USA,441,yy202106,19.3
00,USA,441,yy202107,14.4
00,USA,441,yy202108,10.1
00,USA,441,yy202109,8.6
00,USA,441,yy202110,8.3
00,USA,441,yy202111,16.3
00,USA,441,yy202112,9
00,USA,441,yy202201,12.8
00,USA,441,yy202202,17.7
00,USA,441,yy202203,-1.5
00,USA,441,yy202204,-1.7
00,USA,441,yy202205,-4.4
00,USA,441,yy202206,-0.4
00,USA,441,yy202207,-1.7
00,USA,441,yy202208,9.5
00,USA,441,yy202209,5
00,USA,441,yy202210,4.9
00,USA,441,yy202211,1.2
00,USA,441,yy202212,0.3
00,USA,441,yy202301,3.5
00,USA,441,yy202302,1.3
00,USA,441,yy202303,0.9
00,USA,441,yy202304,-2.7
00,USA,441,yy202305,8.3
00,USA,441,yy202306,5.7
00,USA,441,yy202307,6.3
00,USA,441,yy202308,4.7
00,USA,441,yy202309,6.8
00,USA,441,yy202310,2.5
00,USA,441,yy202311,5.8
00,USA,441,yy202312,6.3
00,USA,441,yy202401,0.5
00,USA,441,yy202402,6.8
00,USA,441,yy202403,-0.3
00,USA,441,yy202404,4.4
00,USA,441,yy202405,1.9
00,USA,441,yy202406,-6.1
00,USA,441,yy202407,4.2
00,USA,441,yy202408,1.4
00,USA,441,yy202409,-3.3
00,USA,441,yy202410,6.8
00,USA,442,yy201901,-0.6
00,USA,442,yy201902,-0.7
00,USA,442,yy201903,-1.5
00,USA,442,yy201904,2.5
00,USA,442,yy201905,2.2
00,USA,442,yy201906,-1.3
00,USA,442,yy201907,2.9
00,USA,442,yy201908,2.3
00,USA,442,yy201909,3.7
00,USA,442,yy201910,2.9
00,USA,442,yy201911,2.2
00,USA,442,yy201912,0.2
00,USA,442,yy202001,6.9
00,USA,442,yy202002,8.7
00,USA,442,yy202003,-19.6
00,USA,442,yy202004,-59.7
00,USA,442,yy202005,-30
00,USA,442,yy202006,0.2
00,USA,442,yy202007,1.9
00,USA,442,yy202008,2.9
00,USA,442,yy202009,7.8
00,USA,442,yy202010,6.2
00,USA,442,yy202011,-0.8
00,USA,442,yy202012,5.2
00,USA,442,yy202101,10.7
00,USA,442,yy202102,5.5
00,USA,442,yy202103,53.8
00,USA,442,yy202104,206.3
00,USA,442,yy202105,63.8
00,USA,442,yy202106,18.5
00,USA,442,yy202107,14.6
00,USA,442,yy202108,9.7
00,USA,442,yy202109,8.8
00,USA,442,yy202110,9.9
00,USA,442,yy202111,16.3
00,USA,442,yy202112,7.4
00,USA,442,yy202201,-1
00,USA,442,yy202202,7.5
00,USA,442,yy202203,1.9
00,USA,442,yy202204,3.2
00,USA,442,yy202205,3.5
00,USA,442,yy202206,2.7
00,USA,442,yy202207,-1.3
00,USA,442,yy202208,4.9
00,USA,442,yy202209,2.1
00,USA,442,yy202210,0.6
00,USA,442,yy202211,-0.6
00,USA,442,yy202212,-0.9
00,USA,442,yy202301,10
00,USA,442,yy202302,2.5
00,USA,442,yy202303,-1.5
00,USA,442,yy202304,-9.3
00,USA,442,yy202305,-4.2
00,USA,442,yy202306,-1.9
00,USA,442,yy202307,-5
00,USA,442,yy202308,-5.3
00,USA,442,yy202309,-5.4
00,USA,442,yy202310,-9.5
00,USA,442,yy202311,-4
00,USA,442,yy202312,-5.3
00,USA,442,yy202401,-11.8
00,USA,442,yy202402,-5.3
00,USA,442,yy202403,-11.5
00,USA,442,yy202404,-4.1
00,USA,442,yy202405,-2.6
00,USA,442,yy202406,-7.4
00,USA,442,yy202407,2
00,USA,442,yy202408,0.3
00,USA,442,yy202409,-1.5
00,USA,442,yy202410,5.1
00,USA,443,yy201901,-0.8
00,USA,443,yy201902,-4.9
00,USA,443,yy201903,-4.3
00,USA,443,yy201904,-4.2
00,USA,443,yy201905,-3
00,USA,443,yy201906,-6.1
00,USA,443,yy201907,-2.1
00,USA,443,yy201908,-3.9
00,USA,443,yy201909,-2
00,USA,443,yy201910,-3.3
00,USA,443,yy201911,-3.7
00,USA,443,yy201912,-1.8
00,USA,443,yy202001,-3
00,USA,443,yy202002,-0.5
00,USA,443,yy202003,-21.4
00,USA,443,yy202004,-54.8
00,USA,443,yy202005,-46.3
00,USA,443,yy202006,-21.9
00,USA,443,yy202007,-11.7
00,USA,443,yy202008,-11.9
00,USA,443,yy202009,-12.1
00,USA,443,yy202010,-6
00,USA,443,yy202011,-12.6
00,USA,443,yy202012,-14.9
00,USA,443,yy202101,-2.8
00,USA,443,yy202102,-7.5
00,USA,443,yy202103,37.7
00,USA,443,yy202104,148.2
00,USA,443,yy202105,94.9
00,USA,443,yy202106,43.8
00,USA,443,yy202107,24.6
00,USA,443,yy202108,18.4
00,USA,443,yy202109,20.5
00,USA,443,yy202110,18.3
00,USA,443,yy202111,10.9
00,USA,443,yy202112,13.3
00,USA,443,yy202201,2.1
00,USA,443,yy202202,9.7
00,USA,443,yy202203,1.1
00,USA,443,yy202204,2.4
00,USA,443,yy202205,0.1
00,USA,443,yy202206,-6.2
00,USA,443,yy202207,-4.8
00,USA,443,yy202208,0.1
00,USA,443,yy202209,1
00,USA,443,yy202210,-6.5
00,USA,443,yy202211,-5.2
00,USA,443,yy202212,-5.5
00,USA,443,yy202301,8.6
00,USA,443,yy202302,2.7
00,USA,443,yy202303,-5.3
00,USA,443,yy202304,-10.7
00,USA,443,yy202305,-3.1
00,USA,443,yy202306,-0.7
00,USA,443,yy202307,-4.6
00,USA,443,yy202308,-2.4
00,USA,443,yy202309,-1.4
00,USA,443,yy202310,0.8
00,USA,443,yy202311,3.7
00,USA,443,yy202312,1.4
00,USA,443,yy202401,-4.5
00,USA,443,yy202402,6
00,USA,443,yy202403,-4
00,USA,443,yy202404,4.2
00,USA,443,yy202405,5
00,USA,443,yy202406,-1.1
00,USA,443,yy202407,6.3
00,USA,443,yy202408,-0.4
00,USA,443,yy202409,-6.9
00,USA,443,yy202410,-1
00,USA,444,yy201901,13.3
00,USA,444,yy201902,2.3
00,USA,444,yy201903,0.6
00,USA,444,yy201904,6.3
00,USA,444,yy201905,-1.9
00,USA,444,yy201906,-4.3
00,USA,444,yy201907,1.4
00,USA,444,yy201908,0.6
00,USA,444,yy201909,1.7
00,USA,444,yy201910,0
00,USA,444,yy201911,-1
00,USA,444,yy201912,3
00,USA,444,yy202001,0.2
00,USA,444,yy202002,8
00,USA,444,yy202003,6.1
00,USA,444,yy202004,4
00,USA,444,yy202005,12.2
00,USA,444,yy202006,23.8
00,USA,444,yy202007,15.4
00,USA,444,yy202008,12
00,USA,444,yy202009,22.1
00,USA,444,yy202010,14.2
00,USA,444,yy202011,15.7
00,USA,444,yy202012,20.4
00,USA,444,yy202101,15.7
00,USA,444,yy202102,12.9
00,USA,444,yy202103,35.8
00,USA,444,yy202104,32.1
00,USA,444,yy202105,11.5
00,USA,444,yy202106,9
00,USA,444,yy202107,6.6
00,USA,444,yy202108,10.1
00,USA,444,yy202109,7.2
00,USA,444,yy202110,6.9
00,USA,444,yy202111,16
00,USA,444,yy202112,12.6
00,USA,444,yy202201,9.6
00,USA,444,yy202202,14.5
00,USA,444,yy202203,3.2
00,USA,444,yy202204,-1.2
00,USA,444,yy202205,7.7
00,USA,444,yy202206,6.7
00,USA,444,yy202207,5.1
00,USA,444,yy202208,13.6
00,USA,444,yy202209,9.2
00,USA,444,yy202210,8.6
00,USA,444,yy202211,2.1
00,USA,444,yy202212,1.1
00,USA,444,yy202301,3.7
00,USA,444,yy202302,1.2
00,USA,444,yy202303,-6.1
00,USA,444,yy202304,-6.6
00,USA,444,yy202305,0.5
00,USA,444,yy202306,-4.1
00,USA,444,yy202307,-4
00,USA,444,yy202308,-3.1
00,USA,444,yy202309,-6.8
00,USA,444,yy202310,-3
00,USA,444,yy202311,-2.3
00,USA,444,yy202312,-6.2
00,USA,444,yy202401,-6.8
00,USA,444,yy202402,-0.7
00,USA,444,yy202403,-7.6
00,USA,444,yy202404,3.8
00,USA,444,yy202405,-4.1
00,USA,444,yy202406,-5.5
00,USA,444,yy202407,5.3
00,USA,444,yy202408,-2.3
00,USA,444,yy202409,1.2
00,USA,444,yy202410,7.3
00,USA,445,yy201901,4.6
00,USA,445,yy201902,1.3
00,USA,445,yy201903,0.1
00,USA,445,yy201904,5.3
00,USA,445,yy201905,3.6
00,USA,445,yy201906,3.1
00,USA,445,yy201907,5.1
00,USA,445,yy201908,5.4
00,USA,445,yy201909,2
00,USA,445,yy201910,3.3
00,USA,445,yy201911,3.6
00,USA,445,yy201912,1.9
00,USA,445,yy202001,1.3
00,USA,445,yy202002,7.1
00,USA,445,yy202003,25.2
00,USA,445,yy202004,11.5
00,USA,445,yy202005,12.3
00,USA,445,yy202006,8.7
00,USA,445,yy202007,10.4
00,USA,445,yy202008,5.7
00,USA,445,yy202009,9.2
00,USA,445,yy202010,9
00,USA,445,yy202011,6.7
00,USA,445,yy202012,9.3
00,USA,445,yy202101,10.5
00,USA,445,yy202102,6.1
00,USA,445,yy202103,-10.2
00,USA,445,yy202104,1.3
00,USA,445,yy202105,0.8
00,USA,445,yy202106,5.4
00,USA,445,yy202107,4.2
00,USA,445,yy202108,6.8
00,USA,445,yy202109,8.5
00,USA,445,yy202110,8.9
00,USA,445,yy202111,8.6
00,USA,445,yy202112,9.8
00,USA,445,yy202201,7.4
00,USA,445,yy202202,8.1
00,USA,445,yy202203,7.7
00,USA,445,yy202204,9.8
00,USA,445,yy202205,7
00,USA,445,yy202206,8.4
00,USA,445,yy202207,7.4
00,USA,445,yy202208,6.8
00,USA,445,yy202209,6.8
00,USA,445,yy202210,6.3
00,USA,445,yy202211,7.9
00,USA,445,yy202212,6.5
00,USA,445,yy202301,4
00,USA,445,yy202302,5.7
00,USA,445,yy202303,4.6
00,USA,445,yy202304,2.7
00,USA,445,yy202305,3.2
00,USA,445,yy202306,1.2
00,USA,445,yy202307,1.1
00,USA,445,yy202308,2.6
00,USA,445,yy202309,2.2
00,USA,445,yy202310,-0.2
00,USA,445,yy202311,0.9
00,USA,445,yy202312,0.4
00,USA,445,yy202401,1.2
00,USA,445,yy202402,3.8
00,USA,445,yy202403,3
00,USA,445,yy202404,-1.1
00,USA,445,yy202405,2.9
00,USA,445,yy202406,1.9
00,USA,445,yy202407,2.4
00,USA,445,yy202408,2.9
00,USA,445,yy202409,0.5
00,USA,445,yy202410,4
00,USA,446,yy201901,4.3
00,USA,446,yy201902,5.6
00,USA,446,yy201903,2.3
00,USA,446,yy201904,6.1
00,USA,446,yy201905,3
00,USA,446,yy201906,1.3
00,USA,446,yy201907,4.3
00,USA,446,yy201908,0.5
00,USA,446,yy201909,3
00,USA,446,yy201910,1.8
00,USA,446,yy201911,-2.1
00,USA,446,yy201912,3.2
00,USA,446,yy202001,2.4
00,USA,446,yy202002,4.4
00,USA,446,yy202003,7.9
00,USA,446,yy202004,-9.3
00,USA,446,yy202005,-10.5
00,USA,446,yy202006,2.7
00,USA,446,yy202007,5.6
00,USA,446,yy202008,1.3
00,USA,446,yy202009,8.2
00,USA,446,yy202010,3.8
00,USA,446,yy202011,3
00,USA,446,yy202012,7.4
00,USA,446,yy202101,0.2
00,USA,446,yy202102,-1.9
00,USA,446,yy202103,6.9
00,USA,446,yy202104,22.8
00,USA,446,yy202105,18
00,USA,446,yy202106,13.7
00,USA,446,yy202107,6.3
00,USA,446,yy202108,11.2
00,USA,446,yy202109,7.6
00,USA,446,yy202110,5.2
00,USA,446,yy202111,11.9
00,USA,446,yy202112,9.3
00,USA,446,yy202201,9.3
00,USA,446,yy202202,9.2
00,USA,446,yy202203,0.8
00,USA,446,yy202204,1.9
00,USA,446,yy202205,5.4
00,USA,446,yy202206,3
00,USA,446,yy202207,1.8
00,USA,446,yy202208,4.9
00,USA,446,yy202209,4.9
00,USA,446,yy202210,5.1
00,USA,446,yy202211,4.3
00,USA,446,yy202212,1.3
00,USA,446,yy202301,7
00,USA,446,yy202302,8
00,USA,446,yy202303,8.2
00,USA,446,yy202304,5.9
00,USA,446,yy202305,11.3
00,USA,446,yy202306,8
00,USA,446,yy202307,5.9
00,USA,446,yy202308,8.2
00,USA,446,yy202309,6.4
00,USA,446,yy202310,11.9
00,USA,446,yy202311,9.5
00,USA,446,yy202312,7.3
00,USA,446,yy202401,5.1
00,USA,446,yy202402,5.7
00,USA,446,yy202403,-1.1
00,USA,446,yy202404,2.5
00,USA,446,yy202405,0.9
00,USA,446,yy202406,-2
00,USA,446,yy202407,8
00,USA,446,yy202408,2.6
00,USA,446,yy202409,4.8
00,USA,446,yy202410,3.3
00,USA,447,yy201901,-6.1
00,USA,447,yy201902,-3.5
00,USA,447,yy201903,0
00,USA,447,yy201904,3.7
00,USA,447,yy201905,-0.5
00,USA,447,yy201906,-4.4
00,USA,447,yy201907,-1.7
00,USA,447,yy201908,-4.3
00,USA,447,yy201909,-4
00,USA,447,yy201910,-6
00,USA,447,yy201911,-1.5
00,USA,447,yy201912,7.3
00,USA,447,yy202001,8.5
00,USA,447,yy202002,3.8
00,USA,447,yy202003,-18.8
00,USA,447,yy202004,-39.6
00,USA,447,yy202005,-32.4
00,USA,447,yy202006,-19.2
00,USA,447,yy202007,-16.4
00,USA,447,yy202008,-16
00,USA,447,yy202009,-13.4
00,USA,447,yy202010,-14.5
00,USA,447,yy202011,-17.7
00,USA,447,yy202012,-11.6
00,USA,447,yy202101,-7.1
00,USA,447,yy202102,-2.9
00,USA,447,yy202103,33.4
00,USA,447,yy202104,67.2
00,USA,447,yy202105,51
00,USA,447,yy202106,38.3
00,USA,447,yy202107,34.5
00,USA,447,yy202108,34.3
00,USA,447,yy202109,37.5
00,USA,447,yy202110,41.2
00,USA,447,yy202111,49.6
00,USA,447,yy202112,39.2
00,USA,447,yy202201,29.8
00,USA,447,yy202202,34.2
00,USA,447,yy202203,36.9
00,USA,447,yy202204,40.9
00,USA,447,yy202205,46.4
00,USA,447,yy202206,45.8
00,USA,447,yy202207,37.6
00,USA,447,yy202208,26.9
00,USA,447,yy202209,17.2
00,USA,447,yy202210,16.8
00,USA,447,yy202211,12.1
00,USA,447,yy202212,3.8
00,USA,447,yy202301,4.5
00,USA,447,yy202302,-1.6
00,USA,447,yy202303,-13.2
00,USA,447,yy202304,-15.5
00,USA,447,yy202305,-20.4
00,USA,447,yy202306,-23.6
00,USA,447,yy202307,-21.4
00,USA,447,yy202308,-8.2
00,USA,447,yy202309,-3.4
00,USA,447,yy202310,-7.8
00,USA,447,yy202311,-10.2
00,USA,447,yy202312,-7.3
00,USA,447,yy202401,-7.1
00,USA,447,yy202402,-0.1
00,USA,447,yy202403,-2.3
00,USA,447,yy202404,3
00,USA,447,yy202405,2.1
00,USA,447,yy202406,-1.1
00,USA,447,yy202407,1.6
00,USA,447,yy202408,-6
00,USA,447,yy202409,-11
00,USA,447,yy202410,-6.5
00,USA,448,yy201901,2.3
00,USA,448,yy201902,-2.5
00,USA,448,yy201903,-0.7
00,USA,448,yy201904,5
00,USA,448,yy201905,-2.4
00,USA,448,yy201906,-0.9
00,USA,448,yy201907,0.4
00,USA,448,yy201908,3.3
00,USA,448,yy201909,-1
00,USA,448,yy201910,1.1
00,USA,448,yy201911,-0.7
00,USA,448,yy201912,3.6
00,USA,448,yy202001,4.3
00,USA,448,yy202002,7
00,USA,448,yy202003,-50.1
00,USA,448,yy202004,-87
00,USA,448,yy202005,-62.1
00,USA,448,yy202006,-22.8
00,USA,448,yy202007,-18.7
00,USA,448,yy202008,-21.4
00,USA,448,yy202009,-5.5
00,USA,448,yy202010,-7.9
00,USA,448,yy202011,-16.6
00,USA,448,yy202012,-10.5
00,USA,448,yy202101,-8.2
00,USA,448,yy202102,-16.1
00,USA,448,yy202103,116.1
00,USA,448,yy202104,734.3
00,USA,448,yy202105,196
00,USA,448,yy202106,50.9
00,USA,448,yy202107,42.5
00,USA,448,yy202108,33.5
00,USA,448,yy202109,21.7
00,USA,448,yy202110,22.6
00,USA,448,yy202111,35.6
00,USA,448,yy202112,22.9
00,USA,448,yy202201,14.8
00,USA,448,yy202202,24.6
00,USA,448,yy202203,6
00,USA,448,yy202204,8.9
00,USA,448,yy202205,1.3
00,USA,448,yy202206,-0.7
00,USA,448,yy202207,-2.3
00,USA,448,yy202208,2.9
00,USA,448,yy202209,3.1
00,USA,448,yy202210,0.4
00,USA,448,yy202211,-1.3
00,USA,448,yy202212,1.5
00,USA,448,yy202301,8
00,USA,448,yy202302,3.3
00,USA,448,yy202303,-2.3
00,USA,448,yy202304,-3.9
00,USA,448,yy202305,-0.2
00,USA,448,yy202306,0.1
00,USA,448,yy202307,1.6
00,USA,448,yy202308,3.9
00,USA,448,yy202309,0.8
00,USA,448,yy202310,-1.3
00,USA,448,yy202311,1.9
00,USA,448,yy202312,3.6
00,USA,448,yy202401,0.4
00,USA,448,yy202402,6.5
00,USA,448,yy202403,1.9
00,USA,448,yy202404,-1
00,USA,448,yy202405,5.6
00,USA,448,yy202406,3.1
00,USA,448,yy202407,2.2
00,USA,448,yy202408,2.1
00,USA,448,yy202409,-1
00,USA,448,yy202410,5.8
00,USA,451,yy201901,-6
00,USA,451,yy201902,-8
00,USA,451,yy201903,-10.3
00,USA,451,yy201904,-2.1
00,USA,451,yy201905,-4.5
00,USA,451,yy201906,-2.8
00,USA,451,yy201907,4.3
00,USA,451,yy201908,3.5
00,USA,451,yy201909,3.7
00,USA,451,yy201910,6.5
00,USA,451,yy201911,1.2
00,USA,451,yy201912,3.4
00,USA,451,yy202001,3.8
00,USA,451,yy202002,6.9
00,USA,451,yy202003,-17.2
00,USA,451,yy202004,-44.7
00,USA,451,yy202005,-3.6
00,USA,451,yy202006,24.2
00,USA,451,yy202007,19.4
00,USA,451,yy202008,5.7
00,USA,451,yy202009,20.8
00,USA,451,yy202010,16.3
00,USA,451,yy202011,12.2
00,USA,451,yy202012,15
00,USA,451,yy202101,24.2
00,USA,451,yy202102,9
00,USA,451,yy202103,72.3
00,USA,451,yy202104,146.1
00,USA,451,yy202105,34.1
00,USA,451,yy202106,8.1
00,USA,451,yy202107,8.1
00,USA,451,yy202108,14.9
00,USA,451,yy202109,6.7
00,USA,451,yy202110,8.8
00,USA,451,yy202111,16.6
00,USA,451,yy202112,10.7
00,USA,451,yy202201,-4.3
00,USA,451,yy202202,11.8
00,USA,451,yy202203,-7.2
00,USA,451,yy202204,-3
00,USA,451,yy202205,-1.7
00,USA,451,yy202206,-2.7
00,USA,451,yy202207,0.5
00,USA,451,yy202208,3.3
00,USA,451,yy202209,3.2
00,USA,451,yy202210,1.7
00,USA,451,yy202211,0.7
00,USA,451,yy202212,3.5
00,USA,451,yy202301,5.4
00,USA,451,yy202302,0.5
00,USA,451,yy202303,-0.8
00,USA,451,yy202304,-2.4
00,USA,451,yy202305,1.8
00,USA,451,yy202306,0.3
00,USA,451,yy202307,0
00,USA,451,yy202308,-2.1
00,USA,451,yy202309,-0.7
00,USA,451,yy202310,-2.5
00,USA,451,yy202311,-1.6
00,USA,451,yy202312,-4.8
00,USA,451,yy202401,-1.9
00,USA,451,yy202402,2
00,USA,451,yy202403,-2.6
00,USA,451,yy202404,-7.4
00,USA,451,yy202405,-3.3
00,USA,451,yy202406,-5.1
00,USA,451,yy202407,-5.6
00,USA,451,yy202408,-3.3
00,USA,451,yy202409,-5.5
00,USA,451,yy202410,-0.7
00,USA,452,yy201901,2.8
00,USA,452,yy201902,-0.3
00,USA,452,yy201903,-0.7
00,USA,452,yy201904,5.8
00,USA,452,yy201905,0.9
00,USA,452,yy201906,1.4
00,USA,452,yy201907,2.3
00,USA,452,yy201908,3.2
00,USA,452,yy201909,-0.4
00,USA,452,yy201910,1.9
00,USA,452,yy201911,0.2
00,USA,452,yy201912,-0.9
00,USA,452,yy202001,3.1
00,USA,452,yy202002,7.8
00,USA,452,yy202003,2.7
00,USA,452,yy202004,-4.8
00,USA,452,yy202005,4.6
00,USA,452,yy202006,2.3
00,USA,452,yy202007,3.8
00,USA,452,yy202008,-0.9
00,USA,452,yy202009,5.1
00,USA,452,yy202010,5.3
00,USA,452,yy202011,-2
00,USA,452,yy202012,-2.3
00,USA,452,yy202101,9.8
00,USA,452,yy202102,-2.5
00,USA,452,yy202103,7.5
00,USA,452,yy202104,19.1
00,USA,452,yy202105,8.4
00,USA,452,yy202106,7.9
00,USA,452,yy202107,9.3
00,USA,452,yy202108,10
00,USA,452,yy202109,9
00,USA,452,yy202110,11.2
00,USA,452,yy202111,10.9
00,USA,452,yy202112,11.8
00,USA,452,yy202201,4.7
00,USA,452,yy202202,12.3
00,USA,452,yy202203,3.5
00,USA,452,yy202204,8.8
00,USA,452,yy202205,6.8
00,USA,452,yy202206,10.9
00,USA,452,yy202207,8.6
00,USA,452,yy202208,8.6
00,USA,452,yy202209,10.8
00,USA,452,yy202210,7.3
00,USA,452,yy202211,7.8
00,USA,452,yy202212,7.8
00,USA,452,yy202301,7.6
00,USA,452,yy202302,7.4
00,USA,452,yy202303,3.5
00,USA,452,yy202304,2.3
00,USA,452,yy202305,1.3
00,USA,452,yy202306,1.5
00,USA,452,yy202307,1.7
00,USA,452,yy202308,2.8
00,USA,452,yy202309,2.1
00,USA,452,yy202310,-0.1
00,USA,452,yy202311,0.8
00,USA,452,yy202312,1.9
00,USA,452,yy202401,-0.3
00,USA,452,yy202402,4.8
00,USA,452,yy202403,9.3
00,USA,452,yy202404,-1.7
00,USA,452,yy202405,4.1
00,USA,452,yy202406,2.6
00,USA,452,yy202407,1.4
00,USA,452,yy202408,4.3
00,USA,452,yy202409,1.2
00,USA,452,yy202410,3.3
00,USA,453,yy201901,-2.9
00,USA,453,yy201902,-2.3
00,USA,453,yy201903,-2
00,USA,453,yy201904,5.3
00,USA,453,yy201905,2.1
00,USA,453,yy201906,0.3
00,USA,453,yy201907,7
00,USA,453,yy201908,4.6
00,USA,453,yy201909,4.6
00,USA,453,yy201910,3.9
00,USA,453,yy201911,3.7
00,USA,453,yy201912,5.6
00,USA,453,yy202001,11.2
00,USA,453,yy202002,12.1
00,USA,453,yy202003,-8.5
00,USA,453,yy202004,-34
00,USA,453,yy202005,-23.5
00,USA,453,yy202006,-1.3
00,USA,453,yy202007,2.9
00,USA,453,yy202008,-0.7
00,USA,453,yy202009,6.3
00,USA,453,yy202010,3.1
00,USA,453,yy202011,-0.6
00,USA,453,yy202012,9.5
00,USA,453,yy202101,3.3
00,USA,453,yy202102,0.4
00,USA,453,yy202103,39.9
00,USA,453,yy202104,87.9
00,USA,453,yy202105,43.6
00,USA,453,yy202106,26.1
00,USA,453,yy202107,20.6
00,USA,453,yy202108,20
00,USA,453,yy202109,20.9
00,USA,453,yy202110,18.6
00,USA,453,yy202111,23.1
00,USA,453,yy202112,14.1
00,USA,453,yy202201,13.7
00,USA,453,yy202202,17.8
00,USA,453,yy202203,8.9
00,USA,453,yy202204,9
00,USA,453,yy202205,14
00,USA,453,yy202206,10.2
00,USA,453,yy202207,4.6
00,USA,453,yy202208,9.3
00,USA,453,yy202209,4.9
00,USA,453,yy202210,2.2
00,USA,453,yy202211,-2.2
00,USA,453,yy202212,-1.8
00,USA,453,yy202301,5.6
00,USA,453,yy202302,2.5
00,USA,453,yy202303,-1
00,USA,453,yy202304,-1.8
00,USA,453,yy202305,1.3
00,USA,453,yy202306,1.1
00,USA,453,yy202307,-0.9
00,USA,453,yy202308,-5.2
00,USA,453,yy202309,0.8
00,USA,453,yy202310,4.1
00,USA,453,yy202311,6.6
00,USA,453,yy202312,3
00,USA,453,yy202401,2.8
00,USA,453,yy202402,9.4
00,USA,453,yy202403,6.9
00,USA,453,yy202404,8.9
00,USA,453,yy202405,5.4
00,USA,453,yy202406,1.1
00,USA,453,yy202407,6.7
00,USA,453,yy202408,9.1
00,USA,453,yy202409,5.5
00,USA,453,yy202410,7.6
00,USA,TOTAL,yy201901,1.7
00,USA,TOTAL,yy201902,0
00,USA,TOTAL,yy201903,-0.1
00,USA,TOTAL,yy201904,4.6
00,USA,TOTAL,yy201905,1.2
00,USA,TOTAL,yy201906,-0.4
00,USA,TOTAL,yy201907,3.1
00,USA,TOTAL,yy201908,2.7
00,USA,TOTAL,yy201909,1.2
00,USA,TOTAL,yy201910,1.5
00,USA,TOTAL,yy201911,1.5
00,USA,TOTAL,yy201912,1.9
00,USA,TOTAL,yy202001,3.6
00,USA,TOTAL,yy202002,6.6
00,USA,TOTAL,yy202003,-8.4
00,USA,TOTAL,yy202004,-22
00,USA,TOTAL,yy202005,-8.3
00,USA,TOTAL,yy202006,2.2
00,USA,TOTAL,yy202007,2.2
00,USA,TOTAL,yy202008,-1.8
00,USA,TOTAL,yy202009,6.1
00,USA,TOTAL,yy202010,4.1
00,USA,TOTAL,yy202011,-1
00,USA,TOTAL,yy202012,3.7
00,USA,TOTAL,yy202101,6.6
00,USA,TOTAL,yy202102,1.4
00,USA,TOTAL,yy202103,30.7
00,USA,TOTAL,yy202104,53.9
00,USA,TOTAL,yy202105,25.5
00,USA,TOTAL,yy202106,16.9
00,USA,TOTAL,yy202107,13.8
00,USA,TOTAL,yy202108,13.5
00,USA,TOTAL,yy202109,12.3
00,USA,TOTAL,yy202110,12.8
00,USA,TOTAL,yy202111,17.7
00,USA,TOTAL,yy202112,13.6
00,USA,TOTAL,yy202201,10.9
00,USA,TOTAL,yy202202,15.7
00,USA,TOTAL,yy202203,5.7
00,USA,TOTAL,yy202204,7
00,USA,TOTAL,yy202205,7.2
00,USA,TOTAL,yy202206,8.7
00,USA,TOTAL,yy202207,6.7
00,USA,TOTAL,yy202208,10.2
00,USA,TOTAL,yy202209,7.6
00,USA,TOTAL,yy202210,6.5
00,USA,TOTAL,yy202211,4.4
00,USA,TOTAL,yy202212,3
00,USA,TOTAL,yy202301,5.1
00,USA,TOTAL,yy202302,3.2
00,USA,TOTAL,yy202303,-0.5
00,USA,TOTAL,yy202304,-2.9
00,USA,TOTAL,yy202305,0.7
00,USA,TOTAL,yy202306,-1.4
00,USA,TOTAL,yy202307,-1.2
00,USA,TOTAL,yy202308,1.1
00,USA,TOTAL,yy202309,1.7
00,USA,TOTAL,yy202310,0
00,USA,TOTAL,yy202311,1.2
00,USA,TOTAL,yy202312,1.4
00,USA,TOTAL,yy202401,-1
00,USA,TOTAL,yy202402,4.2
00,USA,TOTAL,yy202403,0.6
00,USA,TOTAL,yy202404,1.7
00,USA,TOTAL,yy202405,1.9
00,USA,TOTAL,yy202406,-1.9
00,USA,TOTAL,yy202407,3.3
00,USA,TOTAL,yy202408,1.1
00,USA,TOTAL,yy202409,-1.6
00,USA,TOTAL,yy202410,3.7
01,AL,441,yy201901,0.9
01,AL,441,yy201902,-4.3
01,AL,441,yy201903,6.9
01,AL,441,yy201904,13.4
01,AL,441,yy201905,11.5
01,AL,441,yy201906,8.5
01,AL,441,yy201907,14.3
01,AL,441,yy201908,13.9
01,AL,441,yy201909,11.2
01,AL,441,yy201910,5.6
